Title,Description,Subject,Date,Collection,Institution,Thumbnail,Link
Our Otter of the Water,"LOT: 6 ; This otter is a celebration of the sacred connections and
interactions in ecosystems that support all life on Earth.
This otter wears a robe of clean water, a golden halo of
crabs, and carries a life-giving steelhead. A snowy egret
soars across the water on the otter's back.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/34,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/34
Home Sweet Otter Home,Bid#: 5,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/39,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/39
B. Otterfly,"LOT: 7 ; B. Otterfly is a river otter, and she is playful by nature. She
chases butterflies and has made many friends as you can see.
She is particularly fond of Monarch butterflies! I love being part
of this project. My motivation is to create awareness for clean
water and healthy habitats for river otters, and all the creatures
we share our planet with. I have been particularly concerned with
the welfare of the Monarch butterfly. The food source in their
caterpillar stage, milkweed, is vanishing therefore significantly
reducing the populations of Monarchs. I feel the need to surround
myself with these beautiful butterflies before they are all gone.
So I paint them. The inspiration for my design is from a YouTube
video. It was a beautiful, joyful record of three otters mesmerized
by a single butterfly, and chasing it all around.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/44,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/44
Follow Your True North Star,"LOT: 15 ; This otter is inspired by river otters living on the Mattole River.
They get to live their lives under the constellations that have
existed long before our world. The design incorporates redwood
silhouettes, fading into the fog, with the clear night sky above,
including a star map of common constellations. The north star
will adorn the top of the otter's head as a reminder of what is
core to our existence.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/49,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/49
The Velvet Cosmos,Bid#: 107,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/54,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/54
Kawa wa Hitotsu ???? (All Rivers Are One),"LOT: 11 ; My otter design is inspired by Eureka's Sister City relationship
with Kamisu, Japan, a port city about 55 miles northeast of Tokyo.
This otter wears a kimono decorated with motifs inspired by Eureka,
Kamisu and their environs. From Kamisu, we have the ephemeral
cherry blossom, the coastal Hasaki Wind Farm and the bird-like
emblem of the city. Eureka contributes representations of coast
redwoods. The obi belt features California poppies and Cryptomeria,
known also as Japanese redwood trees. Water�essential to the
otter and the economy, environment and culture of both cities�
is a unifying element suggested by color and pattern. The Japanese
river otter (Lutra lutra whiteleyi), a subspecies of the Eurasian otter,
is now extinct in Japan (Scientific American, 2012). At one time its
population numbered in the millions but was over hunted by the fur
trade and pressured further by human development. Called kawauso
(???? ) in Japanese, otters abound as shapeshifters in folklore.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/59,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/59
The Wish,Bid#: 6,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/64,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/64
Freedom,Bid#: 64,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/69,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/69
Poppy Rose McOtter,Bid#: 87,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/74,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/74
Flynn,Bid#: 1,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/79,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/79
Riparian Otter,Bid#: 59,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/84,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/84
Alita Joy,Bid#: 73,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/89,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/89
Keoonik the Otter,Bid#: 42,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/94,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/94
Naa-ghaa-t'uu-ne Chay-yii-ne (Old Man Otter),Bid#: 15 ; Dee-ni'/Karuk,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/99,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/99
Green Waters,"LOT: 28 ; Inspired by the Smith River and the bounty of life it supports,
I wanted to feature some of the more common animals whose lives
depend on our healthy North Coast Watersheds. The beautiful Smith
River supports some of the most amazing wildlife I've ever seen.
Beyond supporting river otters themselves, I was inspired by all the
other creatures wrapped into the biotic web of life that are dependent
on the river. From the salmon that return every winter to the
kingfishers that snag fish from the green waters to the dragonflies
that skim the surface, each creature is a piece in the larger puzzle
of this pristine watershed.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/104,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/104
"H2Otter, the Healer","LOT: 27 ; I have always delighted in otters. I see them in Little River near my
home and in the ocean below Houda Point, in the Trinidad Harbor
and elsewhere. They have sported with me while I kayaked the
Mattole River�followed me downstream and surprised me from
beneath a rock riffle as I maneuvered a tricky turn.
Unlike humans, these sleek mammals are perfectly adept to a
water environment. They hunt, mate, and raise their young at the
edge of water courses. Their survival depends on clean water and
a healthy ecosystem. I have lived my entire life near rivers and
streams, never more than 30 miles from California's Pacific shore.
I feel these waterways are family to me. The delightful otters and
precious water are the inspiration for my otter.
My wish is that the Otter Project, and my design, will make
individuals and families aware of the local otters, the habitat they
live in and the need for pollution-free water. With Otter Project
awareness, the hope is viewers will protect this and other habitats
and species.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/109,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/109
Indigo,Bid#: 23,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/114,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/114
Clean water means happy otters!,Bid#: 75 ; Karuk/Chimarico,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/119,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/119
Clean Water for Every Family,Bid#: 34,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/121,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/121
Ollie the Otter,Bid#: 27,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/126,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/126
Eco-conscious citizen-otter,Bid#: 38,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/133,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/133
Oscar,"LOT: 22 ; Oscar the Otter was made by artist Harley Munger of Piece by
Piece Pottery in Crescent City, CA. Oscar is made of 519 custom
cut tile pieces, glazed with hand made glazes, glued on the otter
form and grouted notice his custom-made belt buckle! He took
several months to create, with each piece requiring several firings.
This otter was inspired by the local flora and fauna, including a
family of river otters that frequent the artist's property.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/138,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/138
Old Growth Redwood Otter,Bid#: 17,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/143,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/143
Otterink,Bid#: 81,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/148,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/148
Nugget,Bid#: 46,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/153,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/153
Tillie,Bid#: 53,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/158,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/158
Six Rivers Otter,Bid#: 22,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/163,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/163
Zuri in the River,Bid#: 13,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/168,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/168
Distinguished Gentleman,Bid#: 76,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/173,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/173
You Are What You Eat,Bid#: 14,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/178,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/178
Wire Otter,Bid#: 10,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/183,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/183
Kika the Otter,Bid#: 65,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/188,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/188
Cali and the Colorful Carnivores,Bid#: 54,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/193,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/193
Pacifica,Bid#: 26,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/198,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/198
No Hotter Otter,Bid#: 51,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/203,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/203
Na:'ndiyay-ch'e' (return: she [girl] came back [home]),Bid#: 45 ; Hupa/Karuk/Yurok/Modoc,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/208,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/208
'In Unity'',Bid#: 61,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/213,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/213
